country,year,imports,exports,balance,GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent)
Brazil,1995,53734,46505,-7229,781736,4781,4.2
Brazil,2005,73600,118529,44928,891634,4773,3.2
Brazil,2010,181768,201915,20147,2208838,11249,7.5
Brazil,2015,171446,191127,19681,1802212,8783,-3.5
Brazil,2020,166336,209180,42844,1448566,6795,-3.9
Brazil,2021,234690,280815,46000,1608981,7507,4.6
China,1995,131353,148616,17263,734485,603,11.0
China,2005,659953,761953,102001,2285962,1752,11.4
China,2010,1396002,1577764,181762,6087188,4515,10.6
China,2015,1679564,2273468,593904,11061570,7937,7.0
China,2020,2069568,2589098,519530,14687744,10308,2.2
China,2021,2715998,3593601,877604,17734131,12437,8.1
Germany,1995,464145,518224,54079,2585619,31873,1.5
Germany,2005,779819,977132,197313,2845732,35041,0.7
Germany,2010,1060672,1267743,207071,3396354,41763,4.2
Germany,2015,1057536,1328500,270964,3356236,40893,1.5
Germany,2020,1173167,1385852,212685,3889669,46678,-3.7
Germany,2021,1424675,1635600,210925,4259935,51073,2.6
India,1995,36592,31699,-4893,371783,386,7.6
India,2005,140862,100353,-40509,823612,713,7.9
India,2010,350029,220408,-129621,1669620,1346,8.5
India,2015,390745,264381,-126364,2146759,1623,8.0
India,2020,367980,275489,-92491,2672204,1914,-6.6
India,2021,570402,394814,-175588,3201471,2274,8.7
